movieID,title,year_release,tagline
8,The Matrix Reloaded,2003,Free your mind
9,The Matrix Revolutions,2003,Everything that has a beginning has an end
10,The Devil's Advocate,1997,Evil has its winning ways
14,A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
28,Top Gun,1986,"I feel the need, the need for speed."
36,Jerry Maguire,2000,The rest of his life begins now.
45,Stand By Me,1986,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of."
51,As Good as It Gets,1997,A comedy from the heart that goes for the throat.
55,What Dreams May Come,1998,After life there is more. The end is just the beginning.
61,Snow Falling on Cedars,1999,First loves last. Forever.
66,You've Got Mail,1998,At odds in life... in love on-line.
72,Sleepless in Seattle,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?"
77,Joe Versus the Volcano,1990,"A story of love, lava and burning desire."
80,When Harry Met Sally,1998,Can two friends sleep together and still love each other in the morning?
84,That Thing You Do,1996,In every life there comes a time when that thing you dream becomes that thing you do
86,The Replacements,2000,"Pain heals, Chicks dig scars... Glory lasts forever"
91,RescueDawn,2006,Based on the extraordinary true story of one man's fight for freedom
94,The Birdcage,1996,Come as you are
96,Unforgiven,1992,"It's a hell of a thing, killing a man"
99,Johnny Mnemonic,1995,The hottest data on earth. In the coolest head in town
104,Cloud Atlas,2012,Everything is connected
110,The Da Vinci Code,2006,Break The Codes
115,V for Vendetta,2006,Freedom! Forever!
120,Speed Racer,2008,Speed has no limits
127,Ninja Assassin,2009,Prepare to enter a secret world of assassins
129,The Green Mile,1999,Walk a mile you'll never forget.
136,Frost/Nixon,2008,400 million people were waiting for the truth.
140,Hoffa,1992,He didn't want law. He wanted justice.
143,Apollo 13,1995,"Houston, we have a problem."
146,Twister,1996,Don't Breathe. Don't Look Back.
149,Cast Away,2000,"At the edge of the world, his journey begins."
151,One Flew Over the Cuckoo's Nest,1975,"If he's crazy, what does that make you?"
153,Something's Gotta Give,2003,null
156,Bicentennial Man,1999,One robot's 200 year journey to become an ordinary man.
158,Charlie Wilson's War,2007,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.
160,The Polar Express,2004,This Holiday Season... Believe
161,A League of Their Own,1992,Once in a lifetime you get a chance to do something different.
176,The Matrix,1999,Welcome to the Real World